Provincia,Latitud,Longitud,3/3/2020,4/3/2020,5/3/2020,6/3/2020,7/3/2020,8/3/2020,9/3/2020,10/3/2020,11/3/2020,12/3/2020,13/3/2020,14/3/2020,15/3/2020,16/3/2020,17/3/2020,18/3/2020,19/3/2020,20/3/2020,21/3/2020,22/3/2020,23/3/2020,24/3/2020,25/3/2020,26/3/2020,27/3/2020,28/3/2020,29/3/2020,30/3/2020,31/3/2020,1/4/2020,2/4/2020,3/4/2020,4/4/2020,5/4/2020,6/4/2020,7/4/2020,8/4/2020,9/4/2020,10/4/2020,11/4/2020
Buenos Aires ,-363.789.925,-603.855.889,0,0,1,1,3,3,4,5,9,10,10,11,12,14,20,35,44,59,67,72,77,107,137,164,200,208,217,253,270,280,316,338,364,397,409,443,460,488,507,544
Ciudad de Buenos Aires ,346.075.682,-584.370.894,1,2,6,6,8,9,10,11,14,16,16,22,27,31,41,49,58,87,99,110,121,151,172,202,245,263,258,292,311,321,345,373,407,439,456,480,498,521,532,578
Catamarca ,-271.910.825,-67.105.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaco ,-263.829.647,-608.816.092,0,0,0,0,0,2,2,2,4,4,4,6,9,10,11,13,14,19,26,30,34,43,55,58,61,66,69,81,84,96,99,107,115,115,119,123,138,144,149,149
Chubut ,-437.128.356,-687.461.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Córdoba ,-31.221.467,-640.207.336,0,0,1,1,1,1,1,1,1,1,1,1,1,3,4,7,12,16,24,27,30,37,52,55,60,61,73,81,95,101,117,131,134,139,146,150,151,156,16,201
Corrientes ,-289.777.522,-577.863.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,5,9,9,19,20,21,22,22,22,22,24,24,24,24,24,24
Entre Ríos ,-316.252.842,-593.539.578,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,6,6,9,9,10,13,13,14,16,18,18,19,19,20,20,22,22,22
Formosa ,-246.611.626,-600.743.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jujuy ,-233.161.458,-657.595.288,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5
La Pampa ,-372.314.643,-653.972.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4,5,5
La Rioja ,-298.444.143,-66.622.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,6,8,9,9,9,14,14,18
Mendoza ,-347.871.961,-684.380.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,6,7,8,9,10,13,15,25,25,27,27,29,30,32,38,40,49,54
Misiones ,-26.737.224,-544.315.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
Neuquén ,-383.695.057,-69.832.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,4,7,11,13,12,20,20,24,28,29,33,44,50,53,70,77,84,85
Río Negro ,-404.811.973,-676.145.911,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,7,7,8,1,9,9,9,10,15,17,19,21,22,35,42,65
Salta ,-251.076.701,-643.494.964,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
San Juan ,-304.951.405,-687.639.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2
San Luis ,-33.921.163,-662.450.736,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,6,6,6,6,6,7,9,10,10,10,11,11,11,11,11,11
Santa Cruz ,-491.688.399,-698.773.387,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,7,9,9,9,9,9,9,19,21,21,22,23,23,31,31,31,37,40
Santa Fe ,-303.154.739,-611.645.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,16,29,32,54,66,75,88,90,111,133,144,152,160,165,176,184,187,189,196,197,200
Santiago del Estero,-276.431.016,-635.408.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,0,2,2,2,3,3,4,4,10,9,9,9,9,12
Tierra del Fuego ,-537.555.095,-689.333.264,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,6,6,6,6,10,11,14,14,18,21,32,39,39,63,64,72,75,77,79,81,81,83,91
Tucumán ,-265.643.582,-64.882.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,7,7,7,9,9,15,15,15,15,16,17,21,21,22,22,27,28,28,29,29,30
