Provincia,3/3/20,4/3/20,5/3/20,6/3/20,7/3/20,8/3/20,9/3/20,10/3/20,11/3/20,12/3/20,13/3/20,14/3/20,15/3/20,16/3/20,17/3/20,18/3/20,19/3/20,20/3/20,21/3/20,22/3/20,23/3/20,24/3/20,25/3/20,26/3/20,27/3/20,28/3/20,29/3/20,30/3/20,31/3/20,1/4/20,2/4/20,3/4/20,4/4/20,5/4/20,6/4/20,7/4/20,8/4/20,9/4/20,10/4/20,11/4/20,12/4/20,13/4/20,14/4/20,15/4/20
Buenos Aires,0,0,1,1,3,3,4,5,9,10,10,11,12,14,20,35,44,59,67,72,77,107,137,164,200,208,217,253,270,280,316,338,364,397,409,443,460,488,507,544,572,601,667,729
Catamarca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaco,0,0,0,0,0,2,2,2,4,4,4,6,9,10,11,13,14,19,26,30,34,43,55,58,61,66,69,81,84,96,99,107,115,115,119,123,138,144,149,149,150,153,184,191
Chubut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ciudad de Buenos Aires,1,2,6,6,8,9,10,11,14,16,16,22,27,31,41,49,58,87,99,110,121,151,172,202,245,263,258,292,311,321,345,373,407,439,456,480,498,521,532,578,586,596,618,648
Córdoba,0,0,1,1,1,1,1,1,1,1,1,1,1,3,4,7,12,16,24,27,30,37,52,55,60,61,73,81,95,101,117,131,134,139,146,150,151,156,16,201,206,210,222,228
Corrientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,5,9,9,19,20,21,22,22,22,22,24,24,24,24,24,24,24,31,32,31
Entre Ríos,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,6,6,9,9,10,13,13,14,16,18,18,19,19,20,20,22,22,22,21,21,21,21
Formosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jujuy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
La Pampa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5
La Rioja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,6,8,9,9,9,14,14,18,19,22,28,31
Mendoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,6,7,8,9,10,13,15,25,25,27,27,29,30,32,38,40,49,54,57,59,62,63
Misiones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Neuquén,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,4,7,11,13,12,20,20,24,28,29,33,44,50,53,70,77,84,85,86,88,90,96
Río Negro,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,7,7,8,1,9,9,9,10,15,17,19,21,22,35,42,65,78,81,94,106
Salta,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
San Juan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
San Luis,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,6,6,6,6,6,7,9,10,10,10,11,11,11,11,11,11,11,11,11,11
Santa Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,7,9,9,9,9,9,9,19,21,21,22,23,23,31,31,31,37,40,40,40,40,40
Santa Fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,16,29,32,54,66,75,88,90,111,133,144,152,160,165,176,184,187,189,196,197,200,203,205,207,209
Santiago del Estero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,0,2,2,2,3,3,4,4,10,9,9,9,9,12,12,12,12,12
Tierra del Fuego,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,6,6,6,6,10,11,14,14,18,21,32,39,39,63,64,72,75,77,79,81,81,83,91,95,99,107,110
Tucumán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,7,7,7,9,9,15,15,15,15,16,17,21,21,22,22,27,28,28,29,29,30,30,30,30,30
